LungeI,timeoflunge,depth,suncycle,MO,MC,purge1,purge2,purge3,lungecat,datetime
1285882,20:34:11,24.1566584284547,0,0,0,0,0,0,0,2017-08-14 20:34:11.100
1286990,20:36:01,15.3940583861635,0,0,0,0,0,0,0,2017-08-14 20:36:01.900
1288175,20:38:00,17.3549187654782,0,0,0,0,0,0,0,2017-08-14 20:38:00.400
1289324,20:39:55,21.2795035316448,0,0,0,0,0,0,0,2017-08-14 20:39:55.300
1290508,20:41:53,16.5607736254758,0,0,0,0,0,0,0,2017-08-14 20:41:53.700
1291716,20:43:54,14.3423863467395,0,0,0,0,0,0,0,2017-08-14 20:43:54.500
1292886,20:45:51,14.8160454131811,0,0,0,0,0,0,0,2017-08-14 20:45:51.500
1294154,20:47:58,9.68864395997912,0,0,0,0,0,0,0,2017-08-14 20:47:58.300
1295499,20:50:12,7.96318782808473,0,0,0,0,0,0,0,2017-08-14 20:50:12.800
1296710,20:52:13,3.82275335899539,0,0,0,0,0,0,0,2017-08-14 20:52:13.900
1298782,20:55:41,10.1769555765251,0,0,0,0,0,0,0,2017-08-14 20:55:41.100
1300215,20:58:04,12.1938461146308,0,0,0,0,0,0,0,2017-08-14 20:58:04.400
1301480,21:00:10,9.58623655960098,0,0,0,0,0,0,0,2017-08-14 21:00:10.900
1302751,21:02:18,7.63842866830401,0,0,0,0,0,0,0,2017-08-14 21:02:18.000
1310707,21:15:33,13.3774058686157,0,0,0,0,0,0,0,2017-08-14 21:15:33.600
1311936,21:17:36,-0.0964655886079625,0,0,0,0,0,0,0,2017-08-14 21:17:36.500
1312899,21:19:12,6.32230119857265,0,0,0,0,0,0,0,2017-08-14 21:19:12.800
1314345,21:21:37,22.4828775313441,0,0,0,0,0,0,0,2017-08-14 21:21:37.400
1315523,21:23:35,22.0158916788697,0,0,0,0,0,0,0,2017-08-14 21:23:35.200
1316850,21:25:47,13.46539665794,0,0,0,0,0,0,0,2017-08-14 21:25:47.900
1318078,21:27:50,23.8545582923113,0,0,0,0,0,0,0,2017-08-14 21:27:50.700
1319275,21:29:50,23.4693146720499,0,0,0,0,0,0,0,2017-08-14 21:29:50.400
1320509,21:31:53,8.61306329861602,0,0,0,0,0,0,0,2017-08-14 21:31:53.800
1321989,21:34:21,6.3641183362064,0,0,0,0,0,0,0,2017-08-14 21:34:21.800
1323162,21:36:19,13.384270177191,0,0,0,0,0,0,0,2017-08-14 21:36:19.100
1324374,21:38:20,7.99925921371857,0,0,0,0,0,0,0,2017-08-14 21:38:20.300
1325772,21:40:40,13.701425568348,0,0,0,0,0,0,0,2017-08-14 21:40:40.100
1327628,21:43:45,11.9547052149636,0,0,0,0,0,0,0,2017-08-14 21:43:45.700
1328699,21:45:32,16.8526215406113,0,0,0,0,0,0,0,2017-08-14 21:45:32.800
1329887,21:47:31,18.3413311855698,0,0,0,0,0,0,0,2017-08-14 21:47:31.600
1331360,21:49:58,18.2086870616436,0,0,0,0,0,0,0,2017-08-14 21:49:58.900
1332619,21:52:04,19.3071455868064,0,0,0,0,0,0,0,2017-08-14 21:52:04.800
1334126,21:54:35,12.873313611976,0,0,0,0,0,0,0,2017-08-14 21:54:35.500
1335645,21:57:07,5.30421705871338,0,0,0,0,0,0,0,2017-08-14 21:57:07.400
1337001,21:59:23,11.2149806463359,0,0,0,0,0,0,0,2017-08-14 21:59:23.000
1338410,22:01:43,13.7004463984217,0,0,0,0,0,0,0,2017-08-14 22:01:43.900
1339684,22:03:51,21.1377797645118,0,0,0,0,0,0,0,2017-08-14 22:03:51.300
1340997,22:06:02,11.7701654835645,0,0,0,0,0,0,0,2017-08-14 22:06:02.600
1342224,22:08:05,20.7635523663539,0,0,0,0,0,0,0,2017-08-14 22:08:05.300
1343435,22:10:06,31.0283771478818,0,0,0,0,0,0,0,2017-08-14 22:10:06.400
1344694,22:12:12,20.4886801274001,0,0,0,0,0,0,0,2017-08-14 22:12:12.300
1346002,22:14:23,21.730693620169,0,0,0,0,0,0,0,2017-08-14 22:14:23.100
1347222,22:16:25,9.73302207540352,0,0,0,0,0,0,0,2017-08-14 22:16:25.100
1348441,22:18:27,7.93530656038558,0,0,0,0,0,0,0,2017-08-14 22:18:27.000
1349878,22:20:50,8.27096774083234,0,0,0,0,0,0,0,2017-08-14 22:20:50.700
